No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category,Ratings,Google Review Count
182,Kutus Kutus Saba Beach Villa,"Jl. Pantai Saba, Saba, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581, Indonesia",Blahbatuh,Gianyar,,,Stays,,
183,Royal Regantris Kuta,"Jl. Bakung Sari No.110, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
184,The Jas Villas,"Depan Villa Arjuna, Jl. Laksmana Gg. Bugis, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
185,Watermark Hotel and Spa Bali,"Jl. Raya Uluwatu No.88, Kedonganan, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
186,The Kana Kuta Hotel,"Jl. Setiabudi No.8, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
187,Ashoka Tree Resort at Tanggayuda,"Jl. Catur Muka II, Banjar Tanggayuda, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Banjar,Gianyar,,,Stays,,
188,Solia Legian Bali,"Jl. Sriwijaya No.16, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
189,Jumana Bali Ungasan Resort Managed by Hilton,"Banjar Kelod, Jl. Melasti, Ungasan, South Kuta, Badung, Bali 80364, Indonesia",Kuta,Badung,,,Stays,,
190,Taksu Sanur Hotel,"Jl. Sudamala No.26, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
191,Bali Garden Beach Resort,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
192,J4 Hotels Legian,"Jl. Raya Legian No.74, Br Pengabetan, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
193,The Wangsa Hotel and Villas Benoa,"Tanjung Benoa - Nusa Dua, Jl. Pratama No.61B, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
194,ibis Bali Kuta,"Jl. Raya Kuta No.77, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
195,Best Western Premier Agung Resort Ubud,"Jl. Sri Wedari No.99, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
196,Kayangan Villa Ubud,"Kenderan Tegalalang, Kenderan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia",Ubud,Gianyar,,,Stays,,
197,Villa Seminyak Estate & Spa By Astadala,"Jl. Nakula Gg. Baik-Baik, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
198,Ulu Segara Luxury Suites and Villas,"Jl. Raya Nusa Dua Selatan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
199,Bali Tropic Resort & Spa,"No.34 A, Jl. Pratama Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
200,Mercure Resort Sanur,"Jl. Mertasari, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
201,Bali Relaxing Resort & Spa,"Jl. Pratama No.62, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
202,Padmasari Resort,"Lovina Beach, Singaraja, Jl. Seririt- Singaraja, Temukus, Kec. Banjar, Kabupaten Buleleng, Bali 81151, Indonesia",Banjar,Buleleng,,,Stays,,
203,Sanur Agung Hotel,"Jl. Bypass Ngurah Rai No.174, Sanur, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",Selat,Denpasar,,,Stays,,
204,Grandmas Plus Hotel - Legian,"Jl. Sriwijaya No.368, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
205,Tijili Seminyak,"Jl. Drupadi No.9, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
206,Best Western Resort Kuta,"Jl. Kubu Anyar Jl. Banjar Anyar No.118, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
207,Om Ham Retreat and Resort,"Tirta Tawar Road, Banjar Junjungan, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Banjar,Gianyar,,,Stays,,
208,ION Bali Benoa Hotel,"Jl. Pratama No.93, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
209,Titik Dua,"Jl. Cok Rai Pudak No.48, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
210,Sujiwa Ubud Retreat Villa,"Jl. Subak Gunung Sari, Sumampan, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Ubud,Gianyar,,,Stays,,
211,Holiday Inn Express BARUNA BALI,"Jl. Wana Segara No.33A, Tuban, Bali, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
212,New Sunari Lovina Beach Resort,"Jl. Raya Lovina-Singaraja Jl. Desa Kalibukbuk-Anturan, Anturan, Kec. Buleleng, Kabupaten Buleleng, Bali 81151, Indonesia",Buleleng,Buleleng,,,Stays,,
213,Kastara Resort,"Jl. Bangkiang Sidem, Keliki, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
214,"The Laguna, a Luxury Collection Resort & Spa, Nusa Dua, Bali","Kawasan Pariwisata, Jl. Nusa Dua No.2 Lot N, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
215,Paisa Seminyak Living,"Gg. Sunyi, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
216,Renaissance Bali Uluwatu Resort & Spa,"Jl. Pantai Balangan I No.1, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
217,Cara Cara Inn,"Jl. Khayangan Suci, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
218,Negara Hotel,"Jl. Ngurah Rai No.107, Pendem, Kec. Jembrana, Kabupaten Jembrana, Bali 82218, Indonesia",Jembrana,Jembrana,,,Stays,,
219,bvilla+spa,"Jl. Beraban No.63, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
220,Mara River Safari Lodge,"Bali Safari and Marine Park, Jl. Prof. Dr. Ida Bagus Mantra No.Km. 19, Serongga, Kec. Gianyar, Kabupaten Gianyar, Bali 80551, Indonesia",Ubud,Gianyar,,,Stays,,
221,Bali Nusa Dua Hotel,"Kawasan Pariwisata Nusa Dua Lot NW/1, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
222,S18 Bali Villas,"Jl. Dewi Sri III No.18, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
223,Ayola Bali Jimbaran,"Jimbaran, South Kuta, Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
224,The Lovina Bali,"Kalibukbuk, Jl. Mas Lovina, Anturan, Kec. Buleleng, Kabupaten Buleleng, Bali 81151, Indonesia",Buleleng,Buleleng,,,Stays,,
225,The Samaya Seminyak,"Seminyak Beach, Jl. Laksmana, Seminyak, Kuta, Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
226,Bumi Linggah Villas Bali,"Jl. Pasekan Jl. Raya Banjar Tubuh, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Banjar,Gianyar,,,Stays,,
227,Hotel Puri Ayu,"Jl. Jend. Sudirman No.14 A, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
228,Plataran Ubud Hotel and Spa,"Jl. Hanoman, Pengosekan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
229,Maison Aurelia Sanur - by Préférence,"Jl. Danau Tamblingan No.140, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
230,Grand Barong Resort Bali,"Jl. Poppies II, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
231,Signature Seminyak Smart Hotel,"Jl. Mertanadi No.74, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
232,Prana Villa Jimbaran,"Komplek Mimpi Resort, Jl. Bukit Permai No.Kav 9, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
233,The Crystal Luxury Bay Resort Nusa Dua - Bali,"Jl. Bypass Ngurah Rai Jl. Puri Mumbul Permai No.88, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
234,The Sintesa Jimbaran Bali,"Jl. Kencana No.1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
235,The Garcia Ubud Hotel and Resort,"Jl. Raya Silungan, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
236,Amnaya Resort Nusa Dua,"Jl. Pratama No.87, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
237,SOL by Meliá Kuta Bali,"Sol By Melia Kuta Bali, Kuta, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
238,18 Suite Villa Loft,"Jl. Kartika Plaza Gg. Pudak Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
239,d’primahotel Seminyak,"Jl. Petitenget No.168, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
240,Asoka City Bali,"Jl. Kubu Anyar No.40, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
241,OYO 3261 Hotel Ratu,"Jl. Yos Sudarso No.4, Dauh Puri, Kec. Denpasar Bar., Kota Denpasar, Bali 80210, Indonesia",Kuta,Denpasar,,,Stays,,
242,Amnaya Resort Kuta,"Jl. Kartika Plaza Gg. Puspa Ayu No.99, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
243,Prime Plaza Suites Sanur – Bali,"Prime Plaza Suites, Jl. Bypass Ngurah Rai, Semawang, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
244,Yan's House Hotel,"Jl. Kartika Plaza No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
245,Candi Beach Resort and Spa,"Jl. Mendira, Sengkidu, Kec. Manggis, Kabupaten Karangasem, Bali 80871, Indonesia",Karangasem,Karangasem,,,Stays,,
246,Artotel Haniman Ubud,"Jl. Jatayu, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
247,Segara Village Hotel,"Jl. Segara Ayu, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80030, Indonesia",Selat,Denpasar,,,Stays,,
248,Link Costel,"Jl. Pulau Sayang No.9B, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80114, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
249,Sari Villa Ubud,"Jl. Raya Sanggingan No.88, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
250,Dee Mansion,"Jl. Pura Demak IV No.57, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
251,Villa Ambara Bali,"Gg. sukun Perancak Street No.3, Tibubeneng, Canggu, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
252,Puri Saron Seminyak,"Jl. Camplung Tanduk, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
253,KajaNe Yangloni at Ubud Bali,"Jl. Cok Rai Pudak No.10, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
254,The Leaf Jimbaran Luxury Villas,"Karang-Mas, Sejahtera Jl. Jepun No.81, Jimbaran, South Kuta, Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
255,Black Penny Villas Ubud,"Jl. Raya Kedewatan, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
256,Komaneka at Monkey Forest,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
257,Maya Ubud Resort & Spa,"Jl. Gn. Sari, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
258,The Ayu Kintamani Villa at Toya Devasya,"Central Batur, Kintamani, Bangli, Bali, Indonesia",Bangli,Bangli,,,Stays,,
259,Radisson Blu Bali Uluwatu,"Jl. Pemutih Jl. Labuansait, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
260,The Sawah Villa,"Banjar Tengkulak, Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia",Banjar,Gianyar,,,Stays,,
261,Hotel Mandari,"V3JF+Q98, Jl. Pantai Asri, Banyuasri, Kec. Buleleng, Kabupaten Buleleng, Bali 81119, Indonesia",Buleleng,Buleleng,,,Stays,,
262,Senetan Villas and Spa Resort,"Banjar Panginyahan, Puhu, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",Banjar,Gianyar,,,Stays,,
263,Legian Beach Hotel,"Jl. Melasti, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
264,Bali Golden Elephant,"55Q4+RM9, Jl. Utama, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
265,BALQUISSE Heritage Hotel,"Jl. Raya Uluwatu No.18X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
266,Adhi Jaya Hotel,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
267,ibis Bali Legian Street,"Jl. Raya Legian U No.456, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
268,Kampi Villas by Premier Hospitality Asia,"Jl. Umalas II No.85, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
269,Inna Sindhu Beach Hotel & Resort,"Jl. Pantai Sindhu No.14, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
270,Bintang Kuta Hotel,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
271,Odika Lovina House and Villas,"Jalan Binaria, Anturan, Buleleng, Buleleng, Bali 81152, Indonesia",Buleleng,Buleleng,,,Stays,,
272,Kampung Cenik,"Jl. Dewi Sri, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
273,Ananta Legian Hotel,"Jl. Werkudara No.539, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
274,Bali Mandira Beach Resort & Spa,"Jl. Padma No.2, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
275,Komaneka at Rasa Sayang,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
276,Hotel Grand Santhi,"Jl. Patih Jelantik No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",Denpasar Barat,Denpasar,,,Stays,,
277,Grand Mirah Boutique Hotel,"Jl. Kaliasem No.1, Dangin Puri Kauh, Kec. Denpasar Utara, Kota Denpasar, Bali 80232, Indonesia",Denpasar Utara,Denpasar,,,Stays,,
278,Ramayana Suites & Resort,"Jl. Bakung Sari, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
279,Keraton Jimbaran Resort,"Jl. Mrajapati, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
280,Inna Bali Heritage Hotel,"Banjar Lelangon, Jl. Veteran No.3, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80232, Indonesia",Banjar,Denpasar,,,Stays,,
281,Alam Sembuwuk Resort Ubud,"Jl. Raya Pejeng Kawan, Pejeng Kaja, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80551, Indonesia",Ubud,Gianyar,,,Stays,,
282,The Rinaya Canggu by ecommerceloka,"Jalan Raya Canggu, Gang Leli, Tibubeneng, Kuta Utara, Tibubeneng, Badung, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
283,Hideaway Villas Bali Uluwatu by Kanaan Hospitality,"54GP+2JJ, Jl. Bangbang Bendot, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
284,Melasti Kuta Bungalows and Spa,"Kuta, Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
285,Serela Legian by KAGUM Hotels,"Jl. Lb. Bene No.168, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
286,Villa Harmony Residence,"85G2+V72, Gg. Merpati, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
287,Bali Sandy Resort,"Jl. Pantai Kuta Jl. Poppies Lane II, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
288,Wirton Seminyak Boutique Hotel,"Jl. Bidadari I No. 38, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80361, Indonesia",Denpasar Barat,Badung,,,Stays,,
289,Adi Assri Beach Resort & Spa,"Jl. Seririt-Gilimanuk, Pemuteran, Kec. Gerokgak, Kabupaten Buleleng, Bali 81155, Indonesia",Buleleng,Denpasar,,,Stays,,
290,Goya Boutique Resort,"Jl. Bisma, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Buleleng,,,Stays,,
291,Mahagiri Resort Nusa Lembongan,"Banjar Kaja Desa Jungutbatu, Nusa Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia",Banjar,Klungkung,,,Stays,,
292,Yucca Villas,"Gang Ruang II Jl. Dalem Gede, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia",Mengwi,Badung,,,Stays,,
293,Grand La Walon Hotel,"Jl. Benesari, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
294,Beautiful Bali Villas,"Jl. Padma Tim. No.16, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
295,Bali Rani Hotel,"Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
296,Lasanti Villas and Spa Seminyak,"Jl. Nakula Gg. Baik-Baik No.89, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
297,Kuta Central Park Hotel,"Jl. Patih Jelantik, Kuta, Badung, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
298,Ubud Hills Villa and Resort,"Banjar Dukuh, Ubud, Tegallalang, Gianyar, Bali 80561, Indonesia",Banjar,Gianyar,,,Stays,,
299,Nusa Majesty,"Jl. Nusa Indah No.53, Kutampi Kaler, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia",Kuta,Klungkung,,,Stays,,
301,Coco De Heaven,"Jl. Bypass Ngurah Rai No.17X, Kedonganan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
302,Adiwana Dara Ayu Villas,"JL. Raya Buahan, No. 88X, Majangan, Buahan Kaja, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",Ubud,Gianyar,,,Stays,,
303,The Magani Hotel and Spa,"Jl. Melasti, Legian, Kelod, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
304,Bayad Ubud Bali Villa,"Banjar Bayad, Melinggih Kelod, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",Banjar,Gianyar,,,Stays,,
305,Kubu GWK Resort,"Jl. Raya Uluwatu No.111, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
306,"The Lokha Ubud Resort, Villas & Spa","Br, Jl. Bangkiang Sidem Desa, Keliki, Kec. Tegallalang, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
307,Wina Holiday Villa Kuta Bali,"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
308,Gending Kedis Luxury Villas & Spa Estate,"Jl. Karang Mas No.100X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
309,Plagoo Holiday Hotel,"Jalan Dalem Tarukan No. 7 Taman Mumbul Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
310,Nesa Sanur,"Jl. Danau Tamblingan No.144, Sanur, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",Selat,Denpasar,,,Stays,,
311,Hotel Sorga Cottages Kuta,"Jl. Poppies 1, Gg. Sorga No.22, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
312,Argya Santi Resort,"Jl. Jepun No.1, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
313,The Diana Suite Hotel,"Jl. Puri Gerenceng No.46B, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
314,Rantun's Place,"56F8+QCV, Jl. Raya Nusa Dua Selatan Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
315,Tropico Jimbaran Bali,"Jl. Goa Gong No.123, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
316,Gana Hotel & Restaurant,"Jl. Raya Pengosekan Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
317,Peppers Seminyak,"Jl. Pura Telaga Waja, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
318,Taman Harum Cottages,"Jl. Raya Mas, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
319,Mutiara Bali Boutique Resort Villas and Spa,"Jalan Braban No.77 Seminyak, Jl. Braban, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
320,OYO 1200 Kencana Residence,"Jl. Danau Tamblingan IV No.5, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
321,The Hill Ungasan Bukit Jimbaran,"Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
322,Karang Lila Bhuana Ubud,"G7F9+RC9, Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
323,The Alantara Sanur,"Jl. Tirta Ening No.12, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",Selat,Denpasar,,,Stays,,
324,Destiny Boutique Hotel,"Jl. Drupadi No.10, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
325,Kuwarasan A Pramana Experience,"Jalan Cinta, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia",Ubud,Gianyar,,,Stays,,
326,OYO 2184 Nan Berlian Inn,"Near Kuta Beach, Legian, Kec. Kuta, Kabupaten Badung, Bali, Indonesia",Kuta,Badung,,,Stays,,
327,Tanadewa Resort & Spa Ubud,"Jl. Padang Getas, Singakerta, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
328,Dinara Ubud,"Jl. Sri Wedari No.58, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
329,Samuh Ocean Sunset Hotel by WizZeLa,"Banjar Anyar, Dusun Sebunibus 80771, Sakti, Nusa Penida, Klungkung, Bali, Indonesia",Banjar,Klungkung,,,Stays,,
330,Omatha Village,"Jl. Kembang Matahari I No.110b, Sumerta, Kec. Denpasar Tim., Kota Denpasar, Bali 80236, Indonesia",Nusa Penida,Denpasar,,,Stays,,
331,The Awan Villas,"Jl. Batu Belig No.168, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
332,Alam Kulkul Boutique Resort,"Jl. Pantai Kuta, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
333,"Abian Srama Hotel, Massage And Spa","Jl. Bypass Ngurah Rai No.23, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Denpasar Selatan,Denpasar,,,Stays,,
334,Astagina Resort Villa and Spa,"Astagina Resort Villa and Spa Bali, Gg. Bulan No.8, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
